iter	Passed	Remaining
959	2566	106
960	2569	104
961	2572	101
962	2574	98
963	2577	96
964	2579	93
965	2582	90
966	2584	88
967	2586	85
968	2589	82
969	2592	80
970	2595	77
971	2600	74
972	2603	72
973	2605	69
974	2608	66
975	2611	64
976	2613	61
977	2616	58
978	2619	56
979	2621	53
980	2624	50
981	2627	48
982	2629	45
983	2632	42
984	2634	40
985	2637	37
986	2640	34
987	2642	32
988	2645	29
989	2647	26
990	2650	24
991	2653	21
992	2655	18
993	2658	16
994	2660	13
995	2663	10
996	2665	8
997	2668	5
998	2670	2
999	2673	0
